TestRunStatus,ExecutionDate,Document Key,Name,Assigned To
PASSED,2024-02-16,KCE-TSTRN-3531825,5.EPS G - Non serving of registered car and Landing calls,Vivek
FAILED,2024-02-14,KCE-TSTRN-3531832,Basic - ILA Constant at allocation and constant at deceleration,Badaganti Sai Prasad
PASSED,2024-02-13,KCE-TSTRN-3531854,Basic - ILA Call allocation,Badaganti Sai Prasad
FAILED,2024-02-16,KCE-TSTRN-3531872,6.EPS G - Remove return permission from KCEOPT,Vivek
FAILED,2024-03-01,KCE-TSTRN-3549587,6.EPS G - Remove return permission from KCEOPT,Vivek
FAILED,2024-04-04,KCE-TSTRN-3553143,6.EPS G - Remove return permission from KCEOPT,Vivek
INPROGRESS,2024-02-06,KCE-TSTRN-3510303,4.EPS G Emergency sequencing - Single lift full sequence Scenario on triggering one by one EPD input with OPT Output Operation,Vivek
FAILED,2024-02-16,KCE-TSTRN-3531836,4.EPS G Emergency sequencing - Single lift full sequence Scenario on triggering one by one EPD input with OPT Output Operation,Vivek
FAILED,2024-03-01,KCE-TSTRN-3549561,4.EPS G Emergency sequencing - Single lift full sequence Scenario on triggering one by one EPD input with OPT Output Operation,Vivek
FAILED,2024-04-04,KCE-TSTRN-3553136,4.EPS G Emergency sequencing - Single lift full sequence Scenario on triggering one by one EPD input with OPT Output Operation,Vivek
PASSED,2024-02-15,KCE-TSTRN-3531862,7.EPS G - Remove Normal service permission from KCEOPT,Vivek
PASSED,2024-02-20,KCE-TSTRN-3531833,8.EPS G - deactivate EPD mode from KCEOPT,Vivek
PASSED,2024-02-14,KCE-TSTRN-3531852,ILA - Lantern operation at floor level,Badaganti Sai Prasad
PASSED,2024-02-20,KCE-TSTRN-3531846,9.EPS G Duplex lifts while returning during EPD operation,Vivek
INPROGRESS,2024-02-06,KCE-TSTRN-3510343,10.EPS G Duplex lifts with one lift fails while returning,Vivek
FAILED,2024-02-13,KCE-TSTRN-3531874,10.EPS G Duplex lifts with one lift fails while returning,Vivek
PASSED,2024-03-04,KCE-TSTRN-3549589,10.EPS G Duplex lifts with one lift fails while returning,Vivek
INPROGRESS,2024-02-13,KCE-TSTRN-3531848,11.EPS G Two lifts in group and other lift online while Normal service,Vivek
PASSED,2024-03-05,KCE-TSTRN-3549570,11.EPS G Two lifts in group and other lift online while Normal service,Vivek
INPROGRESS,2024-02-13,KCE-TSTRN-3531863,12.EPS G Single lift failure to start normal service,Vivek
FAILED,2024-03-05,KCE-TSTRN-3549580,12.EPS G Single lift failure to start normal service,Vivek
FAILED,2024-04-04,KCE-TSTRN-3553139,12.EPS G Single lift failure to start normal service,Vivek
FAILED,2024-03-04,KCE-TSTRN-3549557,13.EPS G - Single lift full return monitoring,Vivek
FAILED,2024-04-04,KCE-TSTRN-3553133,13.EPS G - Single lift full return monitoring,Vivek
PASSED,2024-03-04,KCE-TSTRN-3549559,15.EPS G operation with special mode FRD,Vivek
NOT_APPLICABLE,2024-03-04,KCE-TSTRN-3549574,16.EPS G operation - Lift I/O for manually selecting lifts to full service,Vivek
PASSED,2024-03-04,KCE-TSTRN-3549585,17.EPS G operation - Door opening side and Car Fan/light functionality,Vivek
PASSED,2024-02-01,KCE-TSTRN-3510019,Basic Functions - Elevator vacant - Tests not included into TA,Badaganti Sai Prasad
PASSED,2024-02-02,KCE-TSTRN-3510041,1. DMI _ Parameter setting,Badaganti Sai Prasad
INPROGRESS,2024-02-05,KCE-TSTRN-3510080,Safety Bypass Indication- Buzzer is Continuous and Light ON & OFF on 1S frequency in Maintenance mode,Suryanarayanan
PASSED,2024-02-05,KCE-TSTRN-3510404,4.1. Landing Door contact Bypass switch active - Door open operation via service tools,Shrividhya
INPROGRESS,2024-02-09,KCE-TSTRN-3510569,PIO - Car - 12 floors - Analog Display,Badaganti Sai Prasad
FAILED,2024-02-23,KCE-TSTRN-3531887,PIO - Car - 12 floors - Analog Display,Badaganti Sai Prasad
PASSED,2024-02-13,KCE-TSTRN-3531913,Safety Bypass Indication- Buzzer is Continuous and Light ON & OFF on 1S frequency in Maintenance mode,Harini Sri
PASSED,2024-03-07,KCE-TSTRN-3549594,LLD - Locking of Landing Doors,Vivek
PASSED,2024-03-07,KCE-TSTRN-3549595,LOA E - Locking of automatic car door,Vivek
PASSED,2024-03-04,KCE-TSTRN-3549596,4. Rope Bend Counter - Maximum count value in BUI,VIGNESHWARAR
